johnnydmad EX5 test console
Using ff6.smc as source
Playlist file is set to default.txt

press enter to continue or type:
    "chaos" to test chaotic mode
    "sfxv" to check songs for errors, sorted by longest sequence variant
    "mem" to check songs for errors, sorted by highest memory use variant
    "pool" to simulate many seeds and report the observed probability pools for each track
    "battle" to simulate many seeds and report probabilities for only battle music
    "pl FILENAME" to set FILENAME as playlist instead of default
    "dm FILENAME" to generate a test tierboss MML file including FILENAME
pool


[--------------------------------------------------] 9999/10000
[PRELUDE]:
    03.1% xg_theme            (312 / 10000)
    02.8% ff4_somewhere   (279 / 10000)
    02.8% top_cold        (278 / 10000)
    02.7% ng3_defeat      (272 / 10000)
    02.7% sd2_desert      (271 / 10000)
    02.7% ff9_extraction  (271 / 10000)
    02.6% sd1s_decision   (262 / 10000)
    02.5% ffmq_forest     (246 / 10000)
[STRAGO]:
    04.6% 7th_ruins         (458 / 10000)
    04.5% ff9_vivi          (452 / 10000)
    04.4% pkmnrse_fallarbor (442 / 10000)
    04.3% ff4_elder         (429 / 10000)
    04.3% ff1_matoya        (429 / 10000)
    04.3% ff6_strago        (429 / 10000)
    04.3% ct_zeal           (427 / 10000)
    04.2% ff2_castle        (421 / 10000)
    04.2% ff4_mysidia       (415 / 10000)
    04.1% ff9_blackmage     (407 / 10000)
    04.0% ff5_library       (398 / 10000)
    03.6% sd2_desert        (357 / 10000)
    02.3% totr_wind         (234 / 10000)
    02.3% homm2_sorceress   (232 / 10000)
    02.3% ff9_world         (232 / 10000)
    02.3% ff6_owzer         (231 / 10000)
    02.3% ct_schala         (229 / 10000)
    02.2% ds4_world         (220 / 10000)
    02.2% sd3_holyland      (218 / 10000)
    02.2% ff9_freya         (217 / 10000)
    02.1% ys3_house         (214 / 10000)
    02.1% ff4_damcyan       (214 / 10000)
    02.1% ptsk_level5       (213 / 10000)
    02.0% sd3_charlotte     (201 / 10000)
    02.0% mi_scummbar       (201 / 10000)
    02.0% ot_oasis          (201 / 10000)
    02.0% xg_chuchu         (200 / 10000)
    02.0% bof2_dragnier     (199 / 10000)
    01.9% ff6_town2         (195 / 10000)
    01.9% 7th_town          (195 / 10000)
    01.9% lotr_hobbits      (194 / 10000)
    01.8% ff5_world1        (183 / 10000)
    01.8% lu2_narvick       (182 / 10000)
    01.8% top_harmony       (182 / 10000)
    01.8% ff7_reunion       (178 / 10000)
    01.7% zoot_storms       (171 / 10000)
[GAU]:
    05.7% ff5_lenna        (565 / 10000)
    05.5% sd3_sea          (554 / 10000)
    05.5% ff6_gau          (552 / 10000)
    05.3% ff7_corel        (535 / 10000)
    05.3% ot_cliftlands    (526 / 10000)
    05.2% sd2_memories     (519 / 10000)
    05.2% lu1_parting      (517 / 10000)
    05.1% lu1_motif        (513 / 10000)
    03.1% ff2_theme        (313 / 10000)
    02.9% ff7_desert       (294 / 10000)
    02.8% tob_velvet:part1 (280 / 10000)
    02.8% ff9_home         (278 / 10000)
    02.8% ff7_sadbar       (276 / 10000)
    02.7% dc2_garden       (273 / 10000)
    02.7% cc_miguel        (270 / 10000)
    02.6% rs3_sarah        (262 / 10000)
    02.6% ff6_shadow       (261 / 10000)
    02.6% ff5_home         (260 / 10000)
    02.6% ff10_gagazet     (259 / 10000)
    02.6% sdlm_bonds       (257 / 10000)
    02.5% sd1s_decision    (252 / 10000)
    02.5% ot_oasis         (251 / 10000)
    02.5% totr_sion        (247 / 10000)
    02.4% sdlm_nostalgic   (244 / 10000)
    02.4% ff8_horizon      (244 / 10000)
    02.4% ff5_world3       (244 / 10000)
    02.4% sd2_desert       (244 / 10000)
    02.4% lu2_parting      (241 / 10000)
    02.4% sd1s_risingsun   (237 / 10000)
    02.3% ff4_rydia        (232 / 10000)
[FIGARO]:
    07.3% sd3_steel     (733 / 10000)
    07.1% ff3_warrior   (714 / 10000)
    07.0% sd2_tasnica   (705 / 10000)
    07.0% ff6_figaro    (704 / 10000)
    07.0% lu2_castle    (703 / 10000)
    06.5% sd2_jema      (652 / 10000)
    06.3% ff5_ship      (633 / 10000)
    06.0% ff5_dawn      (603 / 10000)
    03.9% lotr_aragorn  (387 / 10000)
    03.8% lu2_mountain  (379 / 10000)
    03.7% ff5_bal       (372 / 10000)
    03.6% ff4_baron     (364 / 10000)
    03.6% ff6_returners (361 / 10000)
    03.6% ff6_setzer    (360 / 10000)
    03.5% totr_ship     (351 / 10000)
    03.5% ff5_theme     (348 / 10000)
    03.5% xc1_machina   (345 / 10000)
    03.4% so2_world1:a  (341 / 10000)
    03.3% so2_kurik     (332 / 10000)
    03.3% ffmq_fossil   (327 / 10000)
    02.9% lal_theme     (286 / 10000)
[COIN]:
    06.5% ff4_sorrow     (645 / 10000)
    06.4% ff6_coin       (644 / 10000)
    06.3% sd2_forget     (634 / 10000)
    06.2% sd2_rose       (619 / 10000)
    06.2% ct_night       (618 / 10000)
    06.2% ff9_rose       (615 / 10000)
    06.1% sd2_memories   (613 / 10000)
    06.1% sd2_spirit     (611 / 10000)
    05.8% bof2_unspoken  (581 / 10000)
    03.5% lu2_parting    (347 / 10000)
    03.3% ff6_daryl      (329 / 10000)
    03.2% ff5_home       (318 / 10000)
    03.0% ff6_celes      (302 / 10000)
    03.0% rs3_sarah      (302 / 10000)
    03.0% ff6_rachel     (296 / 10000)
    02.9% bg3_camp       (292 / 10000)
    02.9% ff7_aerith     (288 / 10000)
    02.9% ff10_zanarkand (286 / 10000)
    02.8% ff4_rydia      (284 / 10000)
    02.8% rd_summer      (280 / 10000)
    02.8% top_treant     (278 / 10000)
    02.8% ff8_horizon    (278 / 10000)
    02.8% iog_womb       (275 / 10000)
    02.6% sd3_sea        (265 / 10000)
[CYAN]:
    05.5% ff6_cyan          (545 / 10000)
    05.1% pfwotr_warcamp    (511 / 10000)
    04.8% xc1_machina       (479 / 10000)
    04.7% sd2_jema          (469 / 10000)
    04.7% lu2_mountain      (468 / 10000)
    04.5% sots_boss:nointro (451 / 10000)
    04.4% ffmq_fossil       (439 / 10000)
    02.7% ff6_setzer        (274 / 10000)
    02.7% ff14_forthesky    (270 / 10000)
    02.7% ff6_figaro        (269 / 10000)
    02.6% totr_sion         (264 / 10000)
    02.6% ff5_world1        (259 / 10000)
    02.5% ff5_ship          (255 / 10000)
    02.5% lu2_castle        (254 / 10000)
    02.5% ff6_returners     (252 / 10000)
    02.5% so2_world1        (247 / 10000)
    02.5% ct_frog           (247 / 10000)
    02.4% ff3_warrior       (241 / 10000)
    02.4% ff5_bal           (241 / 10000)
    02.4% ob_thunder        (240 / 10000)
    02.4% ff6_omen3         (238 / 10000)
    02.4% ff6_locke         (235 / 10000)
    02.3% ff9_rose          (234 / 10000)
    02.3% ff4_damcyan       (233 / 10000)
    02.3% ff4_baron         (233 / 10000)
    02.3% ff5_dawn          (230 / 10000)
    02.3% so2_kurik         (229 / 10000)
    02.3% lu1_world         (227 / 10000)
    02.3% lu2_narvick       (226 / 10000)
    02.2% fe15_whatlies     (223 / 10000)
    02.1% ffmq_gale         (213 / 10000)
    02.1% sd2_desert        (210 / 10000)
    02.1% sd2_lofty         (205 / 10000)
    02.1% met3_surface      (205 / 10000)
    01.8% lo_battle         (184 / 10000)
[LOCKE]:
    07.0% ct_ayla          (700 / 10000)
    06.6% ff6_locke        (657 / 10000)
    06.3% bl_rebels        (627 / 10000)
    06.2% xg_flight        (625 / 10000)
    06.1% ct_frog          (610 / 10000)
    05.9% ct_theme         (590 / 10000)
    05.9% ff5_theme        (587 / 10000)
    05.7% lal_theme        (569 / 10000)
    05.3% sf2_guile        (533 / 10000)
    03.4% ob_thunder       (338 / 10000)
    03.2% totr_mountain    (321 / 10000)
    03.2% ff6_blackjack    (320 / 10000)
    03.2% ff5_wings        (319 / 10000)
    03.2% bl_fahrenheit    (318 / 10000)
    03.2% sd3_tension      (317 / 10000)
    03.0% sd2_jema         (305 / 10000)
    03.0% ff3_warrior      (305 / 10000)
    03.0% ys3_wings        (297 / 10000)
    02.9% tob_velvet:part2 (295 / 10000)
    02.9% ff6_setzer       (293 / 10000)
    02.9% ff5_dawn         (293 / 10000)
    02.9% ff12_estersand   (289 / 10000)
    02.6% sf2_ken          (259 / 10000)
    02.3% ys3_time         (233 / 10000)
[RACHEL]:
    06.9% cc_life             (692 / 10000)
    06.2% ff6_rachel          (624 / 10000)
    06.2% sdlm_nostalgic      (618 / 10000)
    06.2% ff8_oath            (615 / 10000)
    06.0% ff4_rosa            (605 / 10000)
    06.0% lu2_parting         (603 / 10000)
    05.9% sd2_angel           (593 / 10000)
    05.8% totr_worlds         (582 / 10000)
    03.2% lu2_priphea         (322 / 10000)
    03.2% ff7_aerith          (320 / 10000)
    03.1% ff5_lenna           (315 / 10000)
    03.1% sd1s_risingsun      (314 / 10000)
    03.1% sd3_pray            (311 / 10000)
    03.0% sdlm_bonds          (305 / 10000)
    03.0% tob_velvet          (303 / 10000)
    03.0% top_mint            (303 / 10000)
    03.0% ff6_coin            (303 / 10000)
    03.0% xg_tears            (297 / 10000)
    02.9% lu1_parting         (288 / 10000)
    02.9% ff6_prelude:nointro (288 / 10000)
    02.9% iog_womb            (287 / 10000)
    02.8% sd2_rose            (281 / 10000)
    02.8% ff6_relm            (281 / 10000)
    02.8% ff7_tifa            (276 / 10000)
    02.7% rd_summer           (274 / 10000)
[RELM]:
    04.6% ff6_relm            (462 / 10000)
    04.2% sd2_always          (422 / 10000)
    04.2% tn_evergreen        (417 / 10000)
    04.1% ff7_tifa            (407 / 10000)
    04.0% ff6_town2           (399 / 10000)
    03.8% lu2_priphea         (376 / 10000)
    03.7% sd2_city            (374 / 10000)
    03.5% ff4_rydia           (355 / 10000)
    02.2% ff9_cleyra          (223 / 10000)
    02.2% pkmnrse_route101    (220 / 10000)
    02.2% totr_wind           (219 / 10000)
    02.2% ff1_matoya          (218 / 10000)
    02.2% fft_data            (216 / 10000)
    02.1% rtrek_world         (212 / 10000)
    02.1% ct_schala           (212 / 10000)
    02.1% ct_zeal             (211 / 10000)
    02.1% sd1s_risingsun      (210 / 10000)
    02.1% ff6_town            (209 / 10000)
    02.1% cc_eden             (208 / 10000)
    02.1% xg_world            (207 / 10000)
    02.1% ffx_luca            (207 / 10000)
    02.1% top_harmony         (206 / 10000)
    02.0% lu2_peace           (202 / 10000)
    02.0% ff4_troia           (202 / 10000)
    02.0% ff6_gau             (201 / 10000)
    02.0% sd2_town            (200 / 10000)
    02.0% dc2_garden          (197 / 10000)
    02.0% lu1_village         (196 / 10000)
    01.9% ot_saintsbridge     (194 / 10000)
    01.9% pkmnrse_fallarbor   (192 / 10000)
    01.9% ff3_world           (192 / 10000)
    01.9% xg_lahan            (192 / 10000)
    01.9% bof2_town           (190 / 10000)
    01.9% ot_oasis            (190 / 10000)
    01.9% ct_600ad            (190 / 10000)
    01.9% ffx_decision        (190 / 10000)
    01.9% sd2_forest          (189 / 10000)
    01.9% garou_hotaru:nobell (188 / 10000)
    01.9% ffmq_light          (186 / 10000)
    01.8% sd3_charlotte       (178 / 10000)
    01.7% smrpg_road          (171 / 10000)
    01.7% ot_cliftlands       (170 / 10000)
[SETZER]:
    04.5% xc2_morardain         (453 / 10000)
    04.2% ff6_setzer            (425 / 10000)
    04.2% ys3_wings             (423 / 10000)
    03.9% ff5_theme             (386 / 10000)
    03.6% lal_theme             (356 / 10000)
    02.4% sd2_hope              (237 / 10000)
    02.3% ds4_lyll              (234 / 10000)
    02.3% ff5_mountain          (230 / 10000)
    02.3% ff6_falcon            (229 / 10000)
    02.2% crys_fields           (221 / 10000)
    02.2% ffmq_rock             (220 / 10000)
    02.2% ff5_airship           (219 / 10000)
    02.1% wa_zed                (215 / 10000)
    02.1% sd2_flammie           (214 / 10000)
    02.1% totr_ship             (214 / 10000)
    02.1% duck_moon             (213 / 10000)
    02.1% lu1_port              (212 / 10000)
    02.1% ds4_world             (210 / 10000)
    02.1% blord_2tower          (210 / 10000)
    02.1% gs_venus              (207 / 10000)
    02.1% wa2_heimdal           (206 / 10000)
    02.1% sd3_flight            (206 / 10000)
    02.1% bof1_dawn             (205 / 10000)
    02.1% bl_fahrenheit:nointro (205 / 10000)
    02.1% ff4_whale             (205 / 10000)
    02.0% ff4_giant_remix       (204 / 10000)
    02.0% ff5_void2             (203 / 10000)
    02.0% ct_theme              (203 / 10000)
    02.0% ys8_idance            (203 / 10000)
    02.0% bl_fahrenheit         (200 / 10000)
    02.0% xg_flight             (200 / 10000)
    02.0% ct_frog               (200 / 10000)
    02.0% ff5_wings             (199 / 10000)
    02.0% sd3_tension           (199 / 10000)
    01.9% ff3_eureka            (194 / 10000)
    01.9% totr_mountain         (194 / 10000)
    01.9% ct_epoch              (194 / 10000)
    01.8% bl_rebels             (185 / 10000)
    01.8% sf2_ken               (185 / 10000)
    01.8% ff6_locke             (183 / 10000)
    01.8% crys_tower            (181 / 10000)
    01.8% ff14_battledt         (178 / 10000)
    01.8% sf2_guile             (175 / 10000)
    01.7% ys3_time              (165 / 10000)
[DARYL]:
    06.6% ff6_daryl      (663 / 10000)
    06.5% sd2_memories   (648 / 10000)
    06.3% sd3_sea        (626 / 10000)
    06.1% rd_summer      (609 / 10000)
    03.5% lu1_motif      (352 / 10000)
    03.5% lu2_priphea    (351 / 10000)
    03.5% iog_womb       (349 / 10000)
    03.4% ff7_5years     (344 / 10000)
    03.4% ff6_celes      (339 / 10000)
    03.4% ff6_coin       (338 / 10000)
    03.4% ff5_home       (336 / 10000)
    03.4% ff6_gau        (336 / 10000)
    03.4% sdlm_nostalgic (335 / 10000)
    03.4% lu1_parting    (335 / 10000)
    03.3% bof2_unspoken  (333 / 10000)
    03.3% lu1_spoils     (326 / 10000)
    03.2% top_treant     (325 / 10000)
    03.2% sd2_forget     (319 / 10000)
    03.2% xg_mermaid     (318 / 10000)
    03.2% sd2_mana       (317 / 10000)
    03.2% ff6_rachel     (316 / 10000)
    03.1% xc1_valakn     (312 / 10000)
    03.1% ff4_rydia      (307 / 10000)
    03.1% rs3_sarah      (306 / 10000)
    03.0% ff9_rose       (297 / 10000)
    02.9% ff7_aerith     (294 / 10000)
    02.7% sd3_winter     (269 / 10000)
[CELES]:
    06.2% ff6_celes           (619 / 10000)
    05.9% sd2_angel           (587 / 10000)
    05.7% sd2_forget          (571 / 10000)
    05.7% ff9_rose            (567 / 10000)
    05.3% ff7_aerith          (535 / 10000)
    05.3% xg_tears            (527 / 10000)
    04.9% sd1s_risingsun      (490 / 10000)
    03.1% ff6_prelude:nointro (314 / 10000)
    03.0% ff6_awakening       (304 / 10000)
    03.0% ng3_defeat          (302 / 10000)
    03.0% sd2_rose            (302 / 10000)
    03.0% ct_night            (300 / 10000)
    03.0% rs3_sarah           (297 / 10000)
    02.9% ff10_zanarkand      (294 / 10000)
    02.9% bg3_camp            (294 / 10000)
    02.9% ff4_rosa            (294 / 10000)
    02.9% lagoon_spirits      (288 / 10000)
    02.9% ff4_rydia           (285 / 10000)
    02.7% ff5_world3          (272 / 10000)
    02.7% ff8_oath            (271 / 10000)
    02.7% totr_worlds         (269 / 10000)
    02.7% xc1_valakn          (269 / 10000)
    02.6% top_mint            (264 / 10000)
    02.6% sd1s_fate           (261 / 10000)
    02.5% ff7_5years          (255 / 10000)
    02.5% sd2_spirit          (250 / 10000)
    02.5% ff6_rachel          (250 / 10000)
    02.5% rd_summer           (250 / 10000)
    02.2% ff6_coin            (219 / 10000)
[CHOCOBO]:
    05.2% sth1_hill      (522 / 10000)
    05.2% blord_2tower   (517 / 10000)
    05.0% fz_silence     (501 / 10000)
    05.0% ct_bike        (500 / 10000)
    05.0% ff7_electric   (499 / 10000)
    05.0% ffmq_rock      (495 / 10000)
    04.8% fz_white1      (476 / 10000)
    04.5% ff6_chocobo    (451 / 10000)
    04.0% smrpg_battle   (401 / 10000)
    02.6% ff4_battle     (261 / 10000)
    02.6% ff5_wings      (256 / 10000)
    02.5% ds4_world      (248 / 10000)
    02.5% mg64_menu      (248 / 10000)
    02.5% crys_mountain  (245 / 10000)
    02.4% ff12_estersand (240 / 10000)
    02.4% crys_tower     (240 / 10000)
    02.4% crys_fields    (238 / 10000)
    02.4% lu1_battle     (237 / 10000)
    02.3% ffmq_tristam   (233 / 10000)
    02.3% mother2_bus    (232 / 10000)
    02.3% sd2_always     (230 / 10000)
    02.3% rs3_julian     (230 / 10000)
    02.3% ds4_lyll       (227 / 10000)
    02.2% smrpg_road     (221 / 10000)
    02.2% lu1_file       (218 / 10000)
    02.1% sd3_tension    (215 / 10000)
    02.1% ys3_wings      (215 / 10000)
    02.1% sf2_guile      (215 / 10000)
    02.1% ys3_time       (210 / 10000)
    02.1% lal_psycho     (207 / 10000)
    02.1% ys1_wars       (206 / 10000)
    02.0% mmx_prologue   (196 / 10000)
    01.9% jts_stage1     (186 / 10000)
    01.8% ff14_battledt  (184 / 10000)
[BOSS]:
    05.5% sd3_mana        (551 / 10000)
    05.2% ff7_boss        (521 / 10000)
    04.1% sd3_tension     (412 / 10000)
    03.6% totr_arrow      (360 / 10000)
    03.5% sdlm_pain       (354 / 10000)
    03.5% ff8_boss        (348 / 10000)
    03.4% xg_boss         (342 / 10000)
    03.0% ct_tylair       (305 / 10000)
    03.0% ff9_boss        (300 / 10000)
    02.9% sd3_faith       (290 / 10000)
    02.9% cc_flame        (290 / 10000)
    02.9% ff1_fiend1      (288 / 10000)
    02.9% lal_boss        (287 / 10000)
    02.8% sd1_boss        (282 / 10000)
    02.8% ff5_boss        (275 / 10000)
    02.6% top_spirit      (262 / 10000)
    02.6% ff8_landing     (261 / 10000)
    02.6% sd1s_courage    (256 / 10000)
    02.5% ff14_fate_ff6   (254 / 10000)
    02.5% lu2_boss        (252 / 10000)
    02.5% ffmq_boss       (251 / 10000)
    02.4% lu1_boss        (236 / 10000)
    02.4% ff6_boss        (235 / 10000)
    02.3% xg_weltall      (234 / 10000)
    02.3% ff4_boss        (228 / 10000)
    02.3% rs2_heroes      (228 / 10000)
    02.2% ff9_hunt        (224 / 10000)
    02.1% totr_sboss      (215 / 10000)
